id,text,anger,disgust,fear,joy,sadness,surprise,emotions,split
tat_train_track_a_00004,аның да хәзер башы ул кагылганнан ямьсез пеләш кала.,0,1,0,0,0,0,['disgust'],train
tat_train_track_a_00006,"юк, ач түгелмен, әмма шундый швед-төрки өстәлендә утырасым килә, рәхәтләнеп чәк-чәк, өчпочмак, бәлеш, пәрәмәч һәм башка тәмле ашамлыклар умырып ашарга, кымыз эчеп, ә юк, чәй эчеп)))",0,0,0,1,0,0,['joy'],train
tat_train_track_a_00007,"малай,шатлыгыбыз,яраттык,жылаганда да,узсузле,кулдан,бэлэкэй,кадерле,йори",0,0,0,1,0,0,['joy'],train
tat_train_track_a_00008,ошамаса укыйм хэм ошамаганлыгын да эйтэм! анысы минем эш.,1,0,0,0,0,0,['anger'],train
tat_train_track_a_00009,"онытырга кала инде,артыннан чабып йормэ!",1,0,0,0,0,0,['anger'],train
tat_train_track_a_00010,апа матурым  эле ярый сез бар безнен !!!хэзер уземдэ актив катнашырмын-вакыт булуга кергэлэп катнашып чыгам узем !!рэхмэт админнарыбызга!!,0,0,0,1,0,0,['joy'],train
tat_train_track_a_00011,"дөрес, культура ягы түбән инде, киенү-ясануга килгәндә дә вкус юк инде, юк, бер генә сүз белән әйткәндә, ни… гыйбадия!..",1,0,0,0,0,0,['anger'],train
tat_train_track_a_00012,"фануда, җылы сүзләрең өчен рәхмәт!!!!!!!!!!!!!",0,0,0,1,0,0,['joy'],train
tat_train_track_a_00013,бу ахырзаман галәмәтләренә ошаган.казан хакимиятенә хурлык!,1,0,0,0,0,0,['anger'],train
tat_train_track_a_00014,"авызы бер пешкән мин моңа да илтифатсыз калдым гына түгел, чирканып йөзен чыттым.",0,1,0,0,0,0,['disgust'],train
tat_train_track_a_00016,молодец)уңышлар  сиңа=),0,0,0,1,0,0,['joy'],train
tat_train_track_a_00017,хич йокыга китеп булмый!,0,0,0,0,1,0,['sadness'],train
tat_train_track_a_00018,әссәламагаләйкем барыгызга да!)),0,0,0,1,0,0,['joy'],train
tat_train_track_a_00019,татар булмаган кеше юктыр монда!?:d,0,0,0,0,0,1,['surprise'],train
tat_train_track_a_00020,ник киряк мында бу кыз ?!?!,0,0,0,0,0,1,['surprise'],train
tat_train_track_a_00021,"уллләәәммм, тагын күпме кеше баскан чиратка, пленкам җитәр микән ???)))))",0,0,0,0,0,1,['surprise'],train
tat_train_track_a_00022,"мине бу юлдан күңел тыйгысызлыгы, җан газабы, бертуктаусыз сыкрап-сызлап торган рухы алып бара.",0,0,0,0,1,0,['sadness'],train
tat_train_track_a_00023,"тоне буе йокламадым,коттем,барыбер язмады,борчылып беттем,ни булды икэн дип.",0,0,1,0,0,0,['fear'],train
tat_train_track_a_00025,"уят мине иртэ белэн,курсэт яна кон туганын... бир мина коч утэргэ буран баскан юлларымны...",0,0,0,0,1,0,['sadness'],train
tat_train_track_a_00026,канатлы чагым минем!,0,0,0,1,0,0,['joy'],train
tat_train_track_a_00027,өзелә бит үзәгем.,0,0,0,0,1,0,['sadness'],train
tat_train_track_a_00029,бездән башкамы???? чакырсалар барыр идееек!!!))))))),0,0,0,0,0,1,['surprise'],train
tat_train_track_a_00030,дорес тугел...,0,0,0,0,1,0,['sadness'],train
tat_train_track_a_00031,без каян белик инде. врач тугел бит без!!!,1,0,0,0,0,0,['anger'],train
tat_train_track_a_00033,син хоккейга йорисен чтоли??,0,0,0,0,0,1,['surprise'],train
tat_train_track_a_00034,яратам мин балаларны-яшь булса аналары😄😃😀))),0,0,0,1,0,0,['joy'],train
tat_train_track_a_00035,"мин уз фикеремне генэ яздым, э шул кафе янанда яшэуче халык нишли микэн???? 😱",0,0,1,0,0,0,['fear'],train
tat_train_track_a_00036,рузиля дорес язасын рахмат зур итеп афаринннннннннннннннннн,0,0,0,1,0,0,['joy'],train
tat_train_track_a_00037,"бабушка бэтмен, сузлэренне чамалап яз эле!!!",1,0,0,0,0,0,['anger'],train
tat_train_track_a_00038,өйдә тып-тын...:(,0,0,0,0,1,0,['sadness'],train
tat_train_track_a_00039,эллэ нинди сузлэр язмагыз эле!,1,0,0,0,0,0,['anger'],train
tat_train_track_a_00041,әдәпле кыз ул - бары тик бер генә  ир-егеткә  әдәпсез була!,0,1,0,0,0,0,['disgust'],train
tat_train_track_a_00042,аның бик явыз үги анасы һәм ике бик ямьсез һәм гаять усал ике апасы булган...,0,1,0,0,0,0,['disgust'],train
tat_train_track_a_00043,"ник алайса алдап йорден, ник эйтмэден алдан ук?!",1,0,0,0,0,0,['anger'],train
tat_train_track_a_00044,куп белэсен бугай син?!,1,0,0,0,0,0,['anger'],train
tat_train_track_a_00046,"иии,  рәхмәт инде,  миша абый)",0,0,0,1,0,0,['joy'],train
tat_train_track_a_00047,шушындый экияти матур кыш конендэ сойгэнем белэн урамда йорисем килэ. лэкин ул еракта. мин аны шундый сагынам.,0,0,0,0,1,0,['sadness'],train
tat_train_track_a_00048,гел бәхетләр һәм шатлыклар,0,0,0,1,0,0,['joy'],train
tat_train_track_a_00049,иң җай урын өйдә - чәй яны .,0,0,0,1,0,0,['joy'],train
tat_train_track_a_00050,"туфрагы жинел, урыны ожмахта булсын😔😔😔",0,0,0,0,1,0,['sadness'],train
tat_train_track_a_00051,"ул сезнен мини  футбол очен яна группа ачырга кирэк,ялкыта башладыгыз!",0,0,0,1,0,0,['joy'],train
tat_train_track_a_00053,шатмын синең өчен=),0,0,0,1,0,0,['joy'],train
tat_train_track_a_00055,бергэ дус яшик!,0,0,0,1,0,0,['joy'],train
tat_train_track_a_00056,рэхмэт 😊 мин дэ сезне куруемэ шат💐😃,0,0,0,1,0,0,['joy'],train
tat_train_track_a_00058,үз-үземнән кире китәр идем:(,0,0,0,0,1,0,['sadness'],train
tat_train_track_a_00059,кемнэр янган анда???,0,0,0,0,0,1,['surprise'],train
