id,text,anger,disgust,fear,joy,sadness,surprise,emotions,split
ary_train_track_a_00004,@<username> wlad l7aram ga3ma kay39lo 3la lbachar,1,0,0,0,0,0,['anger'],train
ary_train_track_a_00005,اللوفر فتح باب التبرعات باش يشري بواطة ديال الكارو  ديال الذهب من القرن 18,0,0,0,0,0,1,['surprise'],train
ary_train_track_a_00006,yemkan ma baghachi sol7 ana hdartlek 3la hadok li ma3andomchi prbl o ana ma3andich mochkil m3a ihab 3andi m3a hadok li,1,0,0,0,0,0,['anger'],train
ary_train_track_a_00007,lfounoun à la prochaine inchalah .. bon courag ❤ en menara mall marrakech ##url##,0,0,0,1,0,0,['joy'],train
ary_train_track_a_00009,هجوم جديد لمهاجرين أفارقة على باب سبتة..تشدو 300 والقوات العمومية دارت استنفار,0,0,1,0,0,0,['fear'],train
ary_train_track_a_00010,hhhh hardart jomhorha la fi3lan kadahko lach mrakzin m3aha ama kayn bin li kaydir dakchi 3alanan ou li khbit bhal bohila,0,0,0,1,0,0,['joy'],train
ary_train_track_a_00011,الحاكم الأوحد في المغرب هو محمد السادس اما البرلمان والاحزاب والانتخابات فهي لزوم ديكور,1,0,0,0,0,0,['anger'],train
ary_train_track_a_00012,مشاءالله عليكي منوره ياغاليه احلا واجمل فنانه بالكون',0,0,0,1,0,0,['joy'],train
ary_train_track_a_00013,هادشي لاش مشاو لأوروبا. جزائريين هاجموا قاصر مغربي باش يسرقوه في بلغراد وهو يضرب واحد فكرشو بموس,1,0,0,0,1,0,"['anger', 'sadness']",train
ary_train_track_a_00014,نايف أكرد خذا الرسمية فويستهام قبل المونديال,0,0,0,1,0,0,['joy'],train
ary_train_track_a_00015,حادث طعن بسكين داخل ملهى ليلي يزرع الرعب فعين الذئاب.. واستنفار أمني لإيقاف الجاني. الضحية امرأة وعدد المعتقلين لحد الآن 4.. وها الجريمة لي دارو,0,0,1,0,1,0,"['fear', 'sadness']",train
ary_train_track_a_00016,ن لا ترغب أن تلعب مع الأسود ! الأسبقية و المشاركة لمن له غيرة و قتالية على بلده و لمن شارك في الاقصاءيات و ليس لانتهازي اختار للعب لبلد آخر !!',1,0,0,0,0,0,['anger'],train
ary_train_track_a_00017,مكافأة للعابا ديال الرجاء من بعد ما ربحو السوالم,0,0,0,1,0,0,['joy'],train
ary_train_track_a_00018,أرفض رفضا مطلقا مشاركة هذا اللاعب ضمن المنتخب المغربي',0,0,0,0,0,1,['surprise'],train
