id,text,anger,disgust,fear,joy,sadness,surprise,emotions,split
ptmz_train_track_a_00001,novas frequências para escutar a emissão em português da voa,0,0,0,1,0,0,['joy'],train
ptmz_train_track_a_00002,hospital do lubango adia cirurgias por falta de água,1,0,0,0,0,0,['anger'],train
ptmz_train_track_a_00003,departamento de defesa dos eua reitera apoio ao governo de moçambique em meio a combates em palma,0,0,0,1,0,0,['joy'],train
ptmz_train_track_a_00006,rádios comunitárias moçambicanas combatem casamentos prematuros,0,0,0,1,0,0,['joy'],train
ptmz_train_track_a_00008,dois novos casos de coronavírus iniciam “momento crucial” para os enfermeiros angolanos,0,0,0,0,1,0,['sadness'],train
ptmz_train_track_a_00010,"itália: já morreram mais padres do que médicos, vítimas do coronavírus",0,0,0,0,1,0,['sadness'],train
ptmz_train_track_a_00019,moçambique atenta a mudanças climáticas,0,0,0,1,0,0,['joy'],train
ptmz_train_track_a_00021,macedônia: blogueiros celebram a vitória sobre os fascistas em 1945,0,0,0,1,0,0,['joy'],train
ptmz_train_track_a_00022,índia proíbe tiktok e outros 58 aplicativos em meio a crescente sentimento anti-china e conflitos na fronteira,0,0,1,0,0,0,['fear'],train
ptmz_train_track_a_00023,são tome & principe: meio ambiente em perigo pela exploração petrolífera,0,0,1,0,0,0,['fear'],train
ptmz_train_track_a_00024,festejos de empate no can fazem 3 mortos na guiné-bissau,0,0,0,0,1,0,['sadness'],train
ptmz_train_track_a_00026,pedem medidas para combater violência no brasil,0,1,0,0,0,0,['disgust'],train
ptmz_train_track_a_00027,um terço das mulheres têm acesso à internet em moçambique,0,0,0,1,0,0,['joy'],train
ptmz_train_track_a_00030,moçambique perdeu 200 milhões de meticais em corrupção,1,0,0,0,0,0,['anger'],train
ptmz_train_track_a_00031,"na boa governação, analistas falam em muito discurso e pouca prática em moçambique",1,0,0,0,0,0,['anger'],train
ptmz_train_track_a_00032,"universidade brasileira não quer matricular estudante de guiné-bissau, mesmo ela tendo cumprido todos os requerimentos",0,0,0,0,1,0,['sadness'],train
ptmz_train_track_a_00034,"jovens deverão assumir a liderança em áfrica, diz o músico zimbabweano thomas mapfumo",0,0,0,1,0,0,['joy'],train
ptmz_train_track_a_00035,"tribunal britânico retoma caso ""dívidas ocultas""",0,0,0,1,0,0,['joy'],train
ptmz_train_track_a_00037,angola: manifestantes e jornalistas presos em luanda,0,0,0,0,1,0,['sadness'],train
ptmz_train_track_a_00038,pessoas brancas deixam de dublar personagens negros de os simpsons,0,0,0,0,0,1,['surprise'],train
ptmz_train_track_a_00039,"com apoio de fãs, azagaia consegue fundos para operar tumor na índia",0,0,0,1,0,0,['joy'],train
ptmz_train_track_a_00040,eliminação do brasil do mundial termina em tumultos,0,0,0,0,1,0,['sadness'],train
ptmz_train_track_a_00042,director de jornal turco que revelou envio de armamentos para islamitas é preso,0,0,0,1,0,0,['joy'],train
ptmz_train_track_a_00045,"""não somos uma família racista"", príncipe william",0,0,0,0,0,1,['surprise'],train
ptmz_train_track_a_00046,gana desbanca república tcheca e embola grupo e,0,0,0,0,0,1,['surprise'],train
ptmz_train_track_a_00047,medo e controle em angola: a central 7311,0,0,1,0,0,0,['fear'],train
ptmz_train_track_a_00050,forças segurança nigerianas resgatam mais de 300 estudantes raptados,0,0,0,1,0,0,['joy'],train
ptmz_train_track_a_00052,cientistas descobrem segredo de 'primo' alemão de stonehenge,0,0,0,0,0,1,['surprise'],train
ptmz_train_track_a_00053,"em iniciativa inédita, polícia vai à maré dar explicações sobre a chacina de junho de 2013",0,0,0,0,0,1,['surprise'],train
ptmz_train_track_a_00054,brasil/palestina: jogador de futebol removido do facebook e cortado da seleção por apoiar palestina,0,1,0,0,0,0,['disgust'],train
ptmz_train_track_a_00056,américas: a saída de bola das eliminatórias da copa,0,0,0,0,1,0,['sadness'],train
ptmz_train_track_a_00058,corrida para o negócio afecta o rigor jornalístico em moçambique,0,0,0,0,1,0,['sadness'],train
