id,text,anger,disgust,fear,joy,sadness,surprise,emotions,split
vmw_train_track_a_00001,exiitu : mameetiku aalatha eviitiyu ya blecaute naakuvelihiwaka hoxipitaali,0,0,0,0,1,0,['sadness'],train
vmw_train_track_a_00003,mosampiikhi: otupweeoiha ni waakiherya okuumibwa mpahari,0,0,0,1,0,0,['joy'],train
vmw_train_track_a_00004,"nikhuru nalipo ottwawela a wameerika senteraaleonirowa mpakha mikano wa exitaato uniitu ovekela mukhupaarelo, masi anamunceene nnakhala khonirowa wateeteriwa",0,0,0,0,1,0,['sadness'],train
vmw_train_track_a_00007,wuutuwanyeya wa opuro onithipiwa maluku onitanyerya  15 myaha sookwiwa oteete.,0,0,0,0,1,0,['sadness'],train
vmw_train_track_a_00009,xiina oowalela mphwanyaneyo wa google mipantta sikinaku sa elapo,0,0,0,0,0,1,['surprise'],train
vmw_train_track_a_00012,pcc onnipuhuweliwa 511% wa miyaakha 2 ni eriyari,0,0,0,0,0,1,['surprise'],train
vmw_train_track_a_00015,palmas oomuthanla exitaranxeyiru oopacerya wiira weettiheryeke ekapitaali parasileyira,0,0,0,0,0,1,['surprise'],train
vmw_train_track_a_00017,eua: onikawa lentaariyu siyentiixita a ekomutasaawu dennis ritchie,0,0,0,0,1,0,['sadness'],train
vmw_train_track_a_00020,musukho wa mulaponi mwahu ti wootepa olimitareya: limitada.,0,0,0,0,1,0,['sadness'],train
vmw_train_track_a_00022,"parasiili : okwa wa sócrates, nthoonyeryo mmosa parasileero",0,0,0,0,1,0,['sadness'],train
vmw_train_track_a_00023,"kami rita, onepaale, onilutteleela mukhaleelo musya mwaha woothanla ikwaha 22 o mwaako everest",0,0,0,1,0,0,['joy'],train
vmw_train_track_a_00024,eeiyari ya atthu a olumwenku anrowa omwiiwelelaka imphira a muntiyaale.,0,0,0,1,0,0,['joy'],train
vmw_train_track_a_00026,amphiira oliipiku: koviiti 19 onaalanya ohiloka variyari va ameerika latiina ni ilaapo sikinaku sootepa othawali,0,0,0,0,1,0,['sadness'],train
vmw_train_track_a_00027,"miyamaari,: ehasara yohiweha ottuli etanyeriwe ni mwanankhaya",0,0,0,0,1,0,['sadness'],train
vmw_train_track_a_00033,#freeamade:otthukiwa wa nahapaari oniphattuwa onyonyiwa mmosampiikhi,1,0,0,0,0,0,['anger'],train
vmw_train_track_a_00034,mwaattelo wa anamatthapa imiya piili okaana anvekela ovahiwa opuro wowipitha oparasiili.,0,0,1,0,0,0,['fear'],train
vmw_train_track_a_00037,"exitaato uniimuthoonya  ruusiya wiira ""nahasara""a muttetthe wa siiriya.",0,1,0,0,0,0,['disgust'],train
vmw_train_track_a_00039,"okumihiwa atoropa akhalayi a renamu oniira wiiraneyaka okathi ola omosampiikhi ookhala oopakeya eporosesu yohisuwanyeya saana ni ehinrowa okhaliherya wii okhale osamihana elapo yootheene, wakhala wii otthikiheriwa wa wataaneya wahikhale wa exariya ni wa okhalela wa atthu ale.",0,0,0,1,0,0,['joy'],train
vmw_train_track_a_00040,woopopiheya wa ithuutu siiri vowoopiha okweela onepaale,0,0,1,0,0,0,['fear'],train
vmw_train_track_a_00042,"leonel messi, mulipa a omusuwelaxa mphira wa ikwaha thanu.",0,0,0,1,0,0,['joy'],train
vmw_train_track_a_00043,muhooleli a poliisiya omosampiikhi vathi va mooro,0,0,1,0,0,0,['fear'],train
vmw_train_track_a_00046,"kovit-19: opaceeriha mukhalelo wa emukaakuve onoorowa okhala muteko ohikweya, anihinya alipo aniweha myaaha",0,0,1,0,0,0,['fear'],train
vmw_train_track_a_00047,mukukutta wa fao waatakanri osofala,0,0,1,0,0,0,['fear'],train
vmw_train_track_a_00052,nahapaari kinenxi orumeela voohisuwanyeya wankoola,0,0,1,0,0,0,['fear'],train
vmw_train_track_a_00056,"ankoola faala so- fernando kawendimba onoovelela  ehukhumu"" okwa etaala wala okwa mwaha wa koroonaviiru""",0,0,1,0,0,0,['fear'],train
vmw_train_track_a_00058,"manyakunyaku apakinwe ni asomi, epooma ya omaputu khaasivenle, yaala apakasa mwaha anamuteko oparamentu olinvwa musurukhu wowaatta.",1,0,0,0,0,0,['anger'],train
vmw_train_track_a_00059,ukaraaniya: eporoceeto ya nlaamulo na mahomofoopiku niroohiwa vapaawutani mwathanle ohinatthi,0,1,0,0,0,0,['disgust'],train
vmw_train_track_a_00060,kuverunu a omosampiikhi oopaka axensiya enwana ni esuruma.,0,0,0,1,0,0,['joy'],train
vmw_train_track_a_00061,mosampiikhi  ookhalana wuuraana wa interneeti eniiwananeya.,0,0,0,1,0,0,['joy'],train
vmw_train_track_a_00062,ehisapo ya patarooya yoowelihiwa,0,0,0,0,0,1,['surprise'],train
vmw_train_track_a_00064,mapuutu onikhupaarela muthukumano olumwenko mpantta wa muretteli,0,0,0,1,0,0,['joy'],train
vmw_train_track_a_00065,alipo ookhalana aviixitu h4 anikhoottihiwa opwanya muteko muhina mwa ilapo sa eua,0,0,0,0,1,0,['sadness'],train
vmw_train_track_a_00070,mosampiiki: peresitente nyusi onilopola wiira wikhanyaanya wiireliwaka murettele,0,0,0,1,0,0,['joy'],train
vmw_train_track_a_00071,"munepaleesa sapana roka magar, okhale toniloopa moothokoreryani mirutthu sa ayiitu ohinisuweliwa mukhalelo aya, ovoolowa muwarakhani mwa masina athiyana 100 a eyaakha ya 2020 a bbc",0,0,0,0,0,1,['surprise'],train
